Entity,Code,Date,DailyChangeInTotalTests
Argentina,ARG,09-Apr-20,1520
Argentina,ARG,10-Apr-20,1529
Argentina,ARG,11-Apr-20,1648
Argentina,ARG,14-Apr-20,3047
Argentina,ARG,15-Apr-20,1569
Argentina,ARG,16-Apr-20,2083
Argentina,ARG,17-Apr-20,2193
Australia,AUS,03-Apr-20,16278
Australia,AUS,07-Apr-20,8038
Australia,AUS,08-Apr-20,8571
Australia,AUS,09-Apr-20,10766
Australia,AUS,10-Apr-20,8212
Australia,AUS,11-Apr-20,9501
Australia,AUS,12-Apr-20,6094
Australia,AUS,13-Apr-20,8195
Australia,AUS,14-Apr-20,4357
Australia,AUS,15-Apr-20,4884
Australia,AUS,16-Apr-20,8626
Austria,AUT,26-Feb-20,103
Austria,AUT,27-Feb-20,126
Austria,AUT,28-Feb-20,316
Austria,AUT,29-Feb-20,886
Austria,AUT,04-Mar-20,455
Austria,AUT,05-Mar-20,573
Austria,AUT,06-Mar-20,289
Austria,AUT,07-Mar-20,308
Austria,AUT,08-Mar-20,201
Austria,AUT,09-Mar-20,225
Austria,AUT,10-Mar-20,292
Austria,AUT,11-Mar-20,336
Austria,AUT,12-Mar-20,507
Austria,AUT,13-Mar-20,713
Austria,AUT,14-Mar-20,885
Austria,AUT,15-Mar-20,700
Austria,AUT,16-Mar-20,323
Austria,AUT,17-Mar-20,1788
Austria,AUT,18-Mar-20,1699
Austria,AUT,19-Mar-20,1747
Austria,AUT,20-Mar-20,1889
Austria,AUT,21-Mar-20,2932
Austria,AUT,22-Mar-20,2823
Austria,AUT,23-Mar-20,2061
Austria,AUT,24-Mar-20,4962
Austria,AUT,25-Mar-20,4016
Austria,AUT,26-Mar-20,3588
Austria,AUT,27-Mar-20,3557
Austria,AUT,28-Mar-20,3198
Austria,AUT,29-Mar-20,3691
Austria,AUT,30-Mar-20,3014
Austria,AUT,31-Mar-20,2889
Austria,AUT,01-Apr-20,3519
Austria,AUT,02-Apr-20,36327
Austria,AUT,03-Apr-20,6153
Austria,AUT,04-Apr-20,5791
Austria,AUT,05-Apr-20,4282
Austria,AUT,06-Apr-20,2880
Austria,AUT,07-Apr-20,3939
Austria,AUT,08-Apr-20,5520
Austria,AUT,09-Apr-20,5532
Austria,AUT,10-Apr-20,8456
Austria,AUT,11-Apr-20,6232
Austria,AUT,12-Apr-20,3902
Austria,AUT,13-Apr-20,3535
Austria,AUT,14-Apr-20,3384
Austria,AUT,15-Apr-20,5005
Austria,AUT,16-Apr-20,6015
Austria,AUT,17-Apr-20,6456
Bahrain,BHR,10-Mar-20,524
Bahrain,BHR,11-Mar-20,456
Bahrain,BHR,12-Mar-20,232
Bahrain,BHR,17-Mar-20,1422
Bahrain,BHR,30-Mar-20,701
Bahrain,BHR,04-Apr-20,1260
Bahrain,BHR,05-Apr-20,5130
Bahrain,BHR,06-Apr-20,3298
Bahrain,BHR,07-Apr-20,2443
Bahrain,BHR,08-Apr-20,2677
Bahrain,BHR,09-Apr-20,2292
Bahrain,BHR,10-Apr-20,2585
Bahrain,BHR,11-Apr-20,3025
Bahrain,BHR,12-Apr-20,3267
Bahrain,BHR,13-Apr-20,3354
Bahrain,BHR,14-Apr-20,3486
Bahrain,BHR,15-Apr-20,2459
Bahrain,BHR,16-Apr-20,3672
Bahrain,BHR,17-Apr-20,2668
Bangladesh,BGD,05-Mar-20,3
Bangladesh,BGD,06-Mar-20,0
Bangladesh,BGD,07-Mar-20,9
Bangladesh,BGD,08-Mar-20,7
Bangladesh,BGD,09-Mar-20,10
Bangladesh,BGD,10-Mar-20,10
Bangladesh,BGD,11-Mar-20,16
Bangladesh,BGD,12-Mar-20,24
Bangladesh,BGD,13-Mar-20,24
Bangladesh,BGD,14-Mar-20,30
Bangladesh,BGD,15-Mar-20,27
Bangladesh,BGD,16-Mar-20,25
Bangladesh,BGD,17-Mar-20,49
Bangladesh,BGD,18-Mar-20,39
Bangladesh,BGD,19-Mar-20,46
Bangladesh,BGD,20-Mar-20,36
Bangladesh,BGD,21-Mar-20,36
Bangladesh,BGD,22-Mar-20,65
Bangladesh,BGD,23-Mar-20,56
Bangladesh,BGD,24-Mar-20,92
Bangladesh,BGD,25-Mar-20,82
Bangladesh,BGD,26-Mar-20,126
Bangladesh,BGD,27-Mar-20,106
Bangladesh,BGD,28-Mar-20,50
Bangladesh,BGD,29-Mar-20,109
Bangladesh,BGD,30-Mar-20,153
Bangladesh,BGD,31-Mar-20,264
Bangladesh,BGD,01-Apr-20,157
Bangladesh,BGD,02-Apr-20,147
Bangladesh,BGD,03-Apr-20,207
Bangladesh,BGD,04-Apr-20,434
Bangladesh,BGD,05-Apr-20,367
Bangladesh,BGD,06-Apr-20,696
Bangladesh,BGD,07-Apr-20,792
Bangladesh,BGD,08-Apr-20,981
Bangladesh,BGD,09-Apr-20,1097
Bangladesh,BGD,10-Apr-20,1184
Bangladesh,BGD,11-Apr-20,649
Bangladesh,BGD,12-Apr-20,1340
Bangladesh,BGD,13-Apr-20,1570
Bangladesh,BGD,14-Apr-20,1905
Bangladesh,BGD,15-Apr-20,1740
Bangladesh,BGD,16-Apr-20,2135
Belgium,BEL,01-Mar-20,56
Belgium,BEL,02-Mar-20,279
Belgium,BEL,03-Mar-20,477
Belgium,BEL,04-Mar-20,632
Belgium,BEL,05-Mar-20,702
Belgium,BEL,06-Mar-20,1004
Belgium,BEL,07-Mar-20,402
Belgium,BEL,08-Mar-20,399
Belgium,BEL,09-Mar-20,553
Belgium,BEL,10-Mar-20,738
Belgium,BEL,11-Mar-20,1010
Belgium,BEL,12-Mar-20,1393
Belgium,BEL,13-Mar-20,2353
Belgium,BEL,14-Mar-20,2000
Belgium,BEL,15-Mar-20,1126
Belgium,BEL,16-Mar-20,1660
Belgium,BEL,17-Mar-20,1953
Belgium,BEL,18-Mar-20,2387
Belgium,BEL,19-Mar-20,2907
Belgium,BEL,20-Mar-20,2599
Belgium,BEL,21-Mar-20,1955
Belgium,BEL,22-Mar-20,1167
Belgium,BEL,23-Mar-20,2632
Belgium,BEL,24-Mar-20,3267
Belgium,BEL,25-Mar-20,3621
Belgium,BEL,26-Mar-20,3554
Belgium,BEL,27-Mar-20,4235
Belgium,BEL,28-Mar-20,3311
Belgium,BEL,29-Mar-20,2015
Belgium,BEL,30-Mar-20,3355
Belgium,BEL,31-Mar-20,5455
Belgium,BEL,01-Apr-20,4834
Belgium,BEL,02-Apr-20,4802
Belgium,BEL,03-Apr-20,5264
Belgium,BEL,04-Apr-20,4314
Belgium,BEL,05-Apr-20,2574
Belgium,BEL,06-Apr-20,4407
Belgium,BEL,07-Apr-20,5761
Belgium,BEL,08-Apr-20,6043
Belgium,BEL,09-Apr-20,6066
Belgium,BEL,10-Apr-20,6459
Belgium,BEL,11-Apr-20,6273
Belgium,BEL,12-Apr-20,5400
Belgium,BEL,13-Apr-20,5099
Belgium,BEL,14-Apr-20,5640
Belgium,BEL,15-Apr-20,6948
Bolivia,BOL,22-Mar-20,39
Bolivia,BOL,23-Mar-20,95
Bolivia,BOL,24-Mar-20,4
Bolivia,BOL,25-Mar-20,57
Bolivia,BOL,26-Mar-20,108
Bolivia,BOL,27-Mar-20,74
Bolivia,BOL,28-Mar-20,43
Bolivia,BOL,29-Mar-20,15
Bolivia,BOL,30-Mar-20,123
Bolivia,BOL,31-Mar-20,82
Bolivia,BOL,01-Apr-20,57
Bolivia,BOL,02-Apr-20,149
Bolivia,BOL,03-Apr-20,133
Bolivia,BOL,04-Apr-20,18
Bolivia,BOL,05-Apr-20,305
Bolivia,BOL,06-Apr-20,11
Bolivia,BOL,07-Apr-20,16
Bolivia,BOL,08-Apr-20,54
Bolivia,BOL,09-Apr-20,475
Bolivia,BOL,10-Apr-20,188
Bolivia,BOL,11-Apr-20,171
Bolivia,BOL,12-Apr-20,172
Bolivia,BOL,13-Apr-20,165
Bolivia,BOL,14-Apr-20,226
Bolivia,BOL,15-Apr-20,311
Bolivia,BOL,16-Apr-20,189
Canada,CAN,19-Mar-20,981
Canada,CAN,20-Mar-20,21858
Canada,CAN,21-Mar-20,12069
Canada,CAN,22-Mar-20,9941
Canada,CAN,23-Mar-20,8323
Canada,CAN,24-Mar-20,17915
Canada,CAN,25-Mar-20,17092
Canada,CAN,26-Mar-20,19449
Canada,CAN,27-Mar-20,9041
Canada,CAN,28-Mar-20,13557
Canada,CAN,29-Mar-20,26234
Canada,CAN,30-Mar-20,30703
Canada,CAN,02-Apr-20,11221
Canada,CAN,03-Apr-20,26911
Canada,CAN,04-Apr-20,16906
Canada,CAN,05-Apr-20,22878
Canada,CAN,06-Apr-20,1957
Canada,CAN,07-Apr-20,9701
Canada,CAN,08-Apr-20,12762
Canada,CAN,09-Apr-20,14312
Canada,CAN,10-Apr-20,9741
Canada,CAN,11-Apr-20,18230
Canada,CAN,12-Apr-20,3099
Canada,CAN,13-Apr-20,24269
Canada,CAN,14-Apr-20,21797
Canada,CAN,15-Apr-20,11636
Canada,CAN,16-Apr-20,24707
Canada,CAN,17-Apr-20,15943
Chile,CHL,02-Apr-20,2685
Chile,CHL,03-Apr-20,3405
Chile,CHL,04-Apr-20,4483
Chile,CHL,05-Apr-20,3343
Chile,CHL,06-Apr-20,2908
Chile,CHL,07-Apr-20,2258
Chile,CHL,08-Apr-20,3269
Chile,CHL,09-Apr-20,7962
Chile,CHL,10-Apr-20,4444
Chile,CHL,11-Apr-20,3577
Chile,CHL,12-Apr-20,5897
Chile,CHL,13-Apr-20,2764
Chile,CHL,14-Apr-20,2759
Chile,CHL,15-Apr-20,4079
Chile,CHL,16-Apr-20,6551
Chile,CHL,17-Apr-20,5449
Costa Rica,CRI,11-Mar-20,68
Costa Rica,CRI,12-Mar-20,89
Costa Rica,CRI,13-Mar-20,86
Costa Rica,CRI,14-Mar-20,127
Costa Rica,CRI,15-Mar-20,43
Costa Rica,CRI,16-Mar-20,171
Costa Rica,CRI,17-Mar-20,114
Costa Rica,CRI,18-Mar-20,154
Costa Rica,CRI,19-Mar-20,116
Costa Rica,CRI,20-Mar-20,119
Costa Rica,CRI,21-Mar-20,148
Costa Rica,CRI,22-Mar-20,227
Costa Rica,CRI,23-Mar-20,157
Costa Rica,CRI,24-Mar-20,165
Costa Rica,CRI,25-Mar-20,29
Costa Rica,CRI,26-Mar-20,677
Costa Rica,CRI,27-Mar-20,487
Costa Rica,CRI,28-Mar-20,158
Costa Rica,CRI,29-Mar-20,222
Costa Rica,CRI,30-Mar-20,263
Costa Rica,CRI,31-Mar-20,153
Costa Rica,CRI,01-Apr-20,373
Costa Rica,CRI,02-Apr-20,132
Costa Rica,CRI,03-Apr-20,110
Costa Rica,CRI,04-Apr-20,194
Costa Rica,CRI,05-Apr-20,444
Costa Rica,CRI,06-Apr-20,265
Costa Rica,CRI,07-Apr-20,162
Costa Rica,CRI,08-Apr-20,510
Costa Rica,CRI,09-Apr-20,263
Costa Rica,CRI,10-Apr-20,154
Costa Rica,CRI,11-Apr-20,156
Costa Rica,CRI,12-Apr-20,154
Costa Rica,CRI,13-Apr-20,106
Costa Rica,CRI,14-Apr-20,76
Costa Rica,CRI,15-Apr-20,193
Costa Rica,CRI,16-Apr-20,214
Czech Republic,CZE,28-Jan-20,8
Czech Republic,CZE,29-Jan-20,5
Czech Republic,CZE,30-Jan-20,1
Czech Republic,CZE,31-Jan-20,3
Czech Republic,CZE,01-Feb-20,1
Czech Republic,CZE,02-Feb-20,5
Czech Republic,CZE,03-Feb-20,5
Czech Republic,CZE,04-Feb-20,5
Czech Republic,CZE,07-Feb-20,6
Czech Republic,CZE,10-Feb-20,8
Czech Republic,CZE,11-Feb-20,2
Czech Republic,CZE,12-Feb-20,1
Czech Republic,CZE,13-Feb-20,1
Czech Republic,CZE,16-Feb-20,1
Czech Republic,CZE,17-Feb-20,2
Czech Republic,CZE,23-Feb-20,3
Czech Republic,CZE,24-Feb-20,12
Czech Republic,CZE,25-Feb-20,14
Czech Republic,CZE,26-Feb-20,23
Czech Republic,CZE,27-Feb-20,35
Czech Republic,CZE,28-Feb-20,23
Czech Republic,CZE,29-Feb-20,7
Czech Republic,CZE,01-Mar-20,11
Czech Republic,CZE,02-Mar-20,51
Czech Republic,CZE,03-Mar-20,78
Czech Republic,CZE,04-Mar-20,67
Czech Republic,CZE,05-Mar-20,76
Czech Republic,CZE,06-Mar-20,111
Czech Republic,CZE,07-Mar-20,193
Czech Republic,CZE,08-Mar-20,141
Czech Republic,CZE,09-Mar-20,265
Czech Republic,CZE,10-Mar-20,165
Czech Republic,CZE,11-Mar-20,458
Czech Republic,CZE,12-Mar-20,537
Czech Republic,CZE,13-Mar-20,741
Czech Republic,CZE,14-Mar-20,971
Czech Republic,CZE,15-Mar-20,1003
Czech Republic,CZE,16-Mar-20,1234
Czech Republic,CZE,17-Mar-20,1362
Czech Republic,CZE,18-Mar-20,1738
Czech Republic,CZE,19-Mar-20,2217
Czech Republic,CZE,20-Mar-20,2085
Czech Republic,CZE,21-Mar-20,1880
Czech Republic,CZE,22-Mar-20,1793
Czech Republic,CZE,23-Mar-20,2247
Czech Republic,CZE,24-Mar-20,2976
Czech Republic,CZE,25-Mar-20,4098
Czech Republic,CZE,26-Mar-20,4429
Czech Republic,CZE,27-Mar-20,5247
Czech Republic,CZE,28-Mar-20,4326
Czech Republic,CZE,29-Mar-20,2798
Czech Republic,CZE,30-Mar-20,5313
Czech Republic,CZE,31-Mar-20,6206
Czech Republic,CZE,01-Apr-20,5973
Czech Republic,CZE,02-Apr-20,6291
Czech Republic,CZE,03-Apr-20,6889
Czech Republic,CZE,04-Apr-20,6134
Czech Republic,CZE,05-Apr-20,4710
Czech Republic,CZE,06-Apr-20,6233
Czech Republic,CZE,07-Apr-20,7434
Czech Republic,CZE,08-Apr-20,8164
Czech Republic,CZE,09-Apr-20,8009
Czech Republic,CZE,10-Apr-20,5431
Czech Republic,CZE,11-Apr-20,4841
Czech Republic,CZE,12-Apr-20,3233
Czech Republic,CZE,13-Apr-20,3183
Czech Republic,CZE,14-Apr-20,6130
Czech Republic,CZE,15-Apr-20,8332
Czech Republic,CZE,16-Apr-20,8303
Denmark,DNK,21-Mar-20,927
Denmark,DNK,24-Mar-20,1050
Denmark,DNK,25-Mar-20,971
Denmark,DNK,30-Mar-20,1442
Denmark,DNK,31-Mar-20,2535
Denmark,DNK,01-Apr-20,2934
Denmark,DNK,02-Apr-20,2812
Denmark,DNK,03-Apr-20,4467
Denmark,DNK,04-Apr-20,5540
Denmark,DNK,05-Apr-20,3806
Denmark,DNK,06-Apr-20,3182
Denmark,DNK,07-Apr-20,5750
Denmark,DNK,08-Apr-20,4869
Denmark,DNK,09-Apr-20,4675
Denmark,DNK,10-Apr-20,2521
Denmark,DNK,11-Apr-20,3040
Denmark,DNK,12-Apr-20,2354
Denmark,DNK,13-Apr-20,1974
Denmark,DNK,14-Apr-20,2111
Denmark,DNK,15-Apr-20,3502
Denmark,DNK,16-Apr-20,4668
Denmark,DNK,17-Apr-20,4644
Ecuador,ECU,19-Mar-20,192
Ecuador,ECU,20-Mar-20,287
Ecuador,ECU,21-Mar-20,222
Ecuador,ECU,22-Mar-20,480
Ecuador,ECU,23-Mar-20,411
Ecuador,ECU,24-Mar-20,235
Ecuador,ECU,25-Mar-20,291
Ecuador,ECU,26-Mar-20,527
Ecuador,ECU,27-Mar-20,443
Ecuador,ECU,28-Mar-20,367
Ecuador,ECU,29-Mar-20,188
Ecuador,ECU,30-Mar-20,96
Ecuador,ECU,31-Mar-20,609
Ecuador,ECU,01-Apr-20,763
Ecuador,ECU,02-Apr-20,711
Ecuador,ECU,03-Apr-20,354
Ecuador,ECU,04-Apr-20,178
Ecuador,ECU,05-Apr-20,415
Ecuador,ECU,06-Apr-20,341
Ecuador,ECU,07-Apr-20,361
Ecuador,ECU,08-Apr-20,707
Ecuador,ECU,09-Apr-20,981
Ecuador,ECU,10-Apr-20,4018
Ecuador,ECU,11-Apr-20,544
Ecuador,ECU,12-Apr-20,383
Ecuador,ECU,13-Apr-20,242
Ecuador,ECU,14-Apr-20,272
Ecuador,ECU,15-Apr-20,516
El Salvador,SLV,15-Apr-20,548
Estonia,EST,26-Feb-20,8
Estonia,EST,27-Feb-20,10
Estonia,EST,28-Feb-20,13
Estonia,EST,29-Feb-20,8
Estonia,EST,01-Mar-20,18
Estonia,EST,02-Mar-20,22
Estonia,EST,03-Mar-20,29
Estonia,EST,04-Mar-20,36
Estonia,EST,05-Mar-20,35
Estonia,EST,06-Mar-20,71
Estonia,EST,07-Mar-20,29
Estonia,EST,08-Mar-20,20
Estonia,EST,09-Mar-20,64
Estonia,EST,10-Mar-20,57
Estonia,EST,11-Mar-20,66
Estonia,EST,12-Mar-20,131
Estonia,EST,13-Mar-20,183
Estonia,EST,14-Mar-20,163
Estonia,EST,15-Mar-20,496
Estonia,EST,16-Mar-20,305
Estonia,EST,17-Mar-20,191
Estonia,EST,18-Mar-20,539
Estonia,EST,19-Mar-20,351
Estonia,EST,20-Mar-20,393
Estonia,EST,21-Mar-20,637
Estonia,EST,22-Mar-20,160
Estonia,EST,23-Mar-20,495
Estonia,EST,24-Mar-20,1403
Estonia,EST,25-Mar-20,1047
Estonia,EST,26-Mar-20,1139
Estonia,EST,27-Mar-20,1253
Estonia,EST,28-Mar-20,1035
Estonia,EST,29-Mar-20,851
Estonia,EST,30-Mar-20,1153
Estonia,EST,31-Mar-20,1977
Estonia,EST,01-Apr-20,1373
Estonia,EST,02-Apr-20,2506
Estonia,EST,03-Apr-20,1532
Estonia,EST,04-Apr-20,1186
Estonia,EST,05-Apr-20,859
Estonia,EST,06-Apr-20,1679
Estonia,EST,07-Apr-20,1273
Estonia,EST,08-Apr-20,1605
Estonia,EST,09-Apr-20,1466
Estonia,EST,10-Apr-20,1570
Estonia,EST,11-Apr-20,895
Estonia,EST,12-Apr-20,409
Estonia,EST,13-Apr-20,1511
Estonia,EST,14-Apr-20,1707
Estonia,EST,15-Apr-20,2054
Estonia,EST,16-Apr-20,1576
Ethiopia,ETH,01-Apr-20,70
Ethiopia,ETH,06-Apr-20,164
Ethiopia,ETH,07-Apr-20,264
Ethiopia,ETH,08-Apr-20,225
Ethiopia,ETH,09-Apr-20,294
Ethiopia,ETH,13-Apr-20,247
Ethiopia,ETH,14-Apr-20,447
Ethiopia,ETH,15-Apr-20,431
Ethiopia,ETH,16-Apr-20,401
Finland,FIN,13-Mar-20,409
Finland,FIN,14-Mar-20,586
Finland,FIN,15-Mar-20,670
Finland,FIN,16-Mar-20,812
Finland,FIN,17-Mar-20,1117
Finland,FIN,18-Mar-20,1015
Finland,FIN,19-Mar-20,776
Finland,FIN,20-Mar-20,1268
Finland,FIN,21-Mar-20,1595
Finland,FIN,22-Mar-20,1052
Finland,FIN,23-Mar-20,1319
Finland,FIN,24-Mar-20,1579
Finland,FIN,25-Mar-20,1849
Finland,FIN,26-Mar-20,1837
Finland,FIN,27-Mar-20,2455
Finland,FIN,28-Mar-20,1207
Finland,FIN,29-Mar-20,583
Finland,FIN,30-Mar-20,1233
Finland,FIN,31-Mar-20,1085
Finland,FIN,01-Apr-20,1886
Finland,FIN,02-Apr-20,1953
Finland,FIN,03-Apr-20,1667
Finland,FIN,04-Apr-20,2591
Finland,FIN,05-Apr-20,1626
Finland,FIN,06-Apr-20,1924
Finland,FIN,07-Apr-20,2077
Finland,FIN,08-Apr-20,2313
Finland,FIN,09-Apr-20,2403
Finland,FIN,10-Apr-20,2463
Finland,FIN,11-Apr-20,1300
Finland,FIN,12-Apr-20,1520
Finland,FIN,13-Apr-20,898
Finland,FIN,14-Apr-20,1148
Finland,FIN,15-Apr-20,2345
France,FRA,25-Feb-20,115
France,FRA,26-Feb-20,266
France,FRA,27-Feb-20,439
France,FRA,28-Feb-20,465
France,FRA,29-Feb-20,586
France,FRA,01-Mar-20,549
France,FRA,02-Mar-20,436
France,FRA,03-Mar-20,707
France,FRA,04-Mar-20,1209
France,FRA,05-Mar-20,1243
France,FRA,06-Mar-20,1649
France,FRA,07-Mar-20,1800
France,FRA,08-Mar-20,1576
France,FRA,09-Mar-20,1596
France,FRA,10-Mar-20,2351
Ghana,GHA,11-Apr-20,10608
Ghana,GHA,14-Apr-20,6298
Greece,GRC,21-Mar-20,658
Greece,GRC,22-Mar-20,176
Greece,GRC,23-Mar-20,638
Greece,GRC,24-Mar-20,427
Greece,GRC,25-Mar-20,1424
Greece,GRC,28-Mar-20,886
Greece,GRC,29-Mar-20,788
Greece,GRC,30-Mar-20,810
Greece,GRC,31-Mar-20,771
Greece,GRC,01-Apr-20,618
Greece,GRC,02-Apr-20,1494
Greece,GRC,03-Apr-20,3593
Greece,GRC,04-Apr-20,896
Greece,GRC,05-Apr-20,2120
Greece,GRC,06-Apr-20,740
Greece,GRC,07-Apr-20,2391
Greece,GRC,08-Apr-20,3944
Greece,GRC,09-Apr-20,1106
Greece,GRC,10-Apr-20,1798
Greece,GRC,11-Apr-20,1912
Greece,GRC,12-Apr-20,4917
Greece,GRC,13-Apr-20,1170
Greece,GRC,14-Apr-20,5367
Hungary,HUN,07-Mar-20,50
