Date,Quantile50,Quantile75,Quantile975,Local
8/5/2020,69200,70300,72400,California
8/6/2020,66400,67600,69600,California
8/7/2020,63700,64900,67000,California
8/8/2020,61200,62300,64303,California
8/9/2020,58700,59800,61800,California
8/10/2020,56300,57400,59303,California
8/11/2020,54100,55100,57000,California
8/12/2020,51800,52800,54700,California
8/13/2020,49700,50700,52500,California
8/14/2020,47600,48600,50400,California
8/15/2020,45700,46600,48400,California
8/16/2020,43800,44700,46400,California
8/17/2020,42000,42900,44500,California
8/18/2020,40300,41100,42800,California
8/19/2020,38600,39500,41100,California
8/20/2020,37000,37800,39400,California
8/21/2020,35500,36300,37900,California
8/22/2020,34000,34800,36400,California
8/23/2020,32600,33400,34900,California
8/24/2020,31300,32000,33500,California
8/25/2020,30000,30700,32100,California
8/26/2020,28700,29400,30900,California
8/27/2020,27500,28200,29600,California
8/28/2020,26300,27000,28400,California
8/29/2020,25200,25900,27300,California
8/30/2020,24200,24800,26100,California
8/31/2020,23100,23800,25100,California
9/1/2020,22100,22800,24000,California
9/2/2020,21200,21800,23100,California
9/3/2020,20300,20900,22200,California
9/4/2020,19500,20100,21200,California
9/5/2020,18600,19200,20400,California
9/6/2020,17900,18500,19600,California
9/7/2020,17100,17700,18800,California
9/8/2020,16400,17000,18000,California
9/9/2020,15700,16300,17300,California
9/10/2020,15100,15600,16600,California
9/11/2020,14400,14900,16000,California
9/12/2020,13800,14300,15300,California
9/13/2020,13200,13700,14700,California
9/14/2020,12700,13100,14100,California
9/15/2020,12100,12600,13500,California
9/16/2020,11600,12000,13000,California
9/17/2020,11000,11500,12400,California
9/18/2020,10500,10900,11800,California
9/19/2020,10000,10500,11300,California
9/20/2020,9500,10000,10800,California
9/21/2020,9100,9500,10300,California
9/22/2020,8700,9100,9900,California
9/23/2020,8300,8700,9500,California
9/24/2020,8000,8300,9100,California
9/25/2020,7600,8000,8700,California
9/26/2020,7200,7600,8300,California
9/27/2020,6900,7300,8000,California
9/28/2020,6600,7000,7700,California
9/29/2020,6300,6700,7400,California
9/30/2020,6000,6400,7100,California
10/1/2020,5800,6100,6700,California
10/2/2020,5500,5800,6500,California
10/3/2020,5200,5600,6200,California
10/4/2020,5000,5300,6000,California
10/5/2020,4800,5100,5700,California
10/6/2020,4600,4900,5500,California
10/7/2020,4400,4700,5300,California
10/8/2020,4100,4400,5000,California
10/9/2020,3900,4200,4800,California
10/10/2020,3700,4000,4600,California
10/11/2020,3600,3800,4400,California
10/12/2020,3400,3700,4200,California
10/13/2020,3300,3500,4000,California
10/14/2020,3100,3400,3900,California
10/15/2020,3000,3200,3700,California
10/16/2020,2900,3100,3600,California
10/17/2020,2700,2900,3400,California
10/18/2020,2500,2800,3200,California
10/19/2020,2400,2600,3100,California
10/20/2020,2200,2500,2900,California
10/21/2020,2100,2300,2800,California
10/22/2020,2000,2200,2600,California
10/23/2020,1900,2100,2500,California
10/24/2020,1800,2000,2400,California
10/25/2020,1600,1800,2200,California
10/26/2020,1400,1600,2000,California
10/27/2020,1300,1500,1800,California
10/28/2020,1100,1300,1600,California
10/29/2020,1000,1200,1500,California
10/30/2020,900,1000,1300,California
10/31/2020,700,900,1200,California
11/1/2020,600,800,1100,California
11/2/2020,600,700,1000,California
11/3/2020,500,600,900,California
11/4/2020,400,500,800,California
11/5/2020,300,500,700,California
11/6/2020,300,400,600,California
11/7/2020,200,300,600,California
11/8/2020,200,300,500,California
11/9/2020,200,300,500,California
11/10/2020,200,200,400,California
11/11/2020,100,200,400,California
11/12/2020,100,200,300,California
11/13/2020,100,200,300,California
11/14/2020,100,200,300,California
11/15/2020,100,100,300,California
11/16/2020,100,100,200,California
11/17/2020,100,100,200,California
11/18/2020,100,100,200,California
11/19/2020,100,100,200,California
11/20/2020,100,100,200,California
11/21/2020,100,100,200,California
11/22/2020,100,100,200,California
11/23/2020,100,100,200,California
11/24/2020,100,100,200,California
11/25/2020,100,100,200,California
11/26/2020,100,100,200,California
11/27/2020,100,100,100,California
11/28/2020,100,100,100,California
11/29/2020,100,100,100,California
11/30/2020,100,100,100,California
12/1/2020,100,100,100,California
12/2/2020,100,100,100,California
12/3/2020,100,100,100,California
12/4/2020,100,100,100,California
12/5/2020,100,100,100,California
12/6/2020,100,100,100,California
12/7/2020,100,100,100,California
12/8/2020,100,100,100,California
12/9/2020,100,100,100,California
12/10/2020,100,100,100,California
12/11/2020,100,100,100,California
12/12/2020,100,100,100,California
12/13/2020,100,100,100,California
12/14/2020,100,100,100,California
12/15/2020,100,100,100,California
12/16/2020,100,100,100,California
12/17/2020,100,100,100,California
12/18/2020,100,100,100,California
12/19/2020,100,100,100,California
12/20/2020,100,100,100,California
12/21/2020,100,100,100,California
12/22/2020,100,100,100,California
12/23/2020,100,100,100,California
12/24/2020,100,100,100,California
12/25/2020,100,100,100,California
12/26/2020,100,100,100,California
12/27/2020,100,100,100,California
12/28/2020,100,100,100,California
12/29/2020,100,100,100,California
4/9/2020,5100,5200,5300,Italy
4/10/2020,9800,9900,10100,Italy
4/11/2020,14100,14200,14400,Italy
4/12/2020,17900,18000,18400,Italy
4/13/2020,21200,21400,21800,Italy
4/14/2020,24000,24300,24800,Italy
4/15/2020,26300,26700,27300,Italy
4/16/2020,28200,28600,29300,Italy
4/17/2020,29600,30000,30900,Italy
4/18/2020,30500,31000,32000,Italy
4/19/2020,31100,31600,32700,Italy
4/20/2020,31300,31900,33000,Italy
4/21/2020,31300,31900,33000,Italy
4/22/2020,31000,31600,32800,Italy
4/23/2020,30400,31100,32300,Italy
4/24/2020,29700,30300,31600,Italy
4/25/2020,28800,29400,30700,Italy
4/26/2020,27800,28500,29800,Italy
4/27/2020,26700,27400,28700,Italy
4/28/2020,25500,26200,27503,Italy
4/29/2020,24400,25100,26300,Italy
4/30/2020,23200,23900,25100,Italy
5/1/2020,22000,22700,23900,Italy
5/2/2020,20800,21500,22700,Italy
5/3/2020,19600,20300,21500,Italy
5/4/2020,18500,19100,20303,Italy
5/5/2020,17400,18000,19200,Italy
5/6/2020,16400,16900,18100,Italy
5/7/2020,15300,15900,17000,Italy
5/8/2020,14400,14900,16000,Italy
5/9/2020,13400,14000,15100,Italy
5/10/2020,12500,13100,14100,Italy
5/11/2020,11700,12200,13200,Italy
5/12/2020,11000,11500,12400,Italy
5/13/2020,10200,10700,11600,Italy
5/14/2020,9500,10000,10800,Italy
5/15/2020,8800,9300,10100,Italy
5/16/2020,8200,8600,9500,Italy
5/17/2020,7600,8000,8800,Italy
5/18/2020,7100,7500,8300,Italy
5/19/2020,6600,7000,7700,Italy
5/20/2020,6100,6500,7200,Italy
5/21/2020,5600,6000,6700,Italy
5/22/2020,5200,5600,6300,Italy
5/23/2020,4800,5200,5800,Italy
5/24/2020,4500,4800,5400,Italy
5/25/2020,4200,4500,5100,Italy
5/26/2020,3800,4100,4700,Italy
5/27/2020,3500,3800,4400,Italy
5/28/2020,3200,3500,4003,Italy
5/29/2020,2900,3200,3700,Italy
5/30/2020,2700,3000,3500,Italy
5/31/2020,2500,2700,3200,Italy
6/1/2020,2300,2500,3000,Italy
6/2/2020,2100,2400,2800,Italy
6/3/2020,2000,2200,2700,Italy
6/4/2020,1800,2000,2500,Italy
6/5/2020,1600,1800,2300,Italy
6/6/2020,1500,1700,2100,Italy
6/7/2020,1300,1500,1900,Italy
6/8/2020,1100,1300,1700,Italy
6/9/2020,1000,1200,1500,Italy
6/10/2020,900,1000,1400,Italy
6/11/2020,700,900,1200,Italy
6/12/2020,600,800,1100,Italy
6/13/2020,500,700,1000,Italy
6/14/2020,500,600,900,Italy
6/15/2020,400,500,800,Italy
6/16/2020,300,500,700,Italy
6/17/2020,300,400,600,Italy
6/18/2020,200,300,600,Italy
6/19/2020,200,300,500,Italy
6/20/2020,200,300,500,Italy
6/21/2020,200,200,400,Italy
6/22/2020,100,200,400,Italy
6/23/2020,100,200,300,Italy
6/24/2020,100,200,300,Italy
6/25/2020,100,200,300,Italy
6/26/2020,100,100,300,Italy
6/27/2020,100,100,300,Italy
6/28/2020,100,100,200,Italy
6/29/2020,100,100,200,Italy
6/30/2020,100,100,200,Italy
7/1/2020,100,100,200,Italy
7/2/2020,100,100,200,Italy
7/3/2020,100,100,200,Italy
7/4/2020,100,100,200,Italy
7/5/2020,100,100,200,Italy
7/6/2020,100,100,200,Italy
7/7/2020,100,100,200,Italy
7/8/2020,100,100,178,Italy
7/9/2020,100,100,100,Italy
7/10/2020,100,100,100,Italy
7/11/2020,100,100,100,Italy
7/12/2020,100,100,100,Italy
7/13/2020,100,100,100,Italy
7/14/2020,100,100,100,Italy
7/15/2020,100,100,100,Italy
7/16/2020,100,100,100,Italy
7/17/2020,100,100,100,Italy
7/18/2020,100,100,100,Italy
7/19/2020,100,100,100,Italy
7/20/2020,100,100,100,Italy
7/21/2020,100,100,100,Italy
7/22/2020,100,100,100,Italy
7/23/2020,100,100,100,Italy
7/24/2020,100,100,100,Italy
7/25/2020,100,100,100,Italy
7/26/2020,100,100,100,Italy
7/27/2020,100,100,100,Italy
7/28/2020,100,100,100,Italy
7/29/2020,100,100,100,Italy
7/30/2020,100,100,100,Italy
7/31/2020,100,100,100,Italy
8/1/2020,100,100,100,Italy
8/2/2020,100,100,100,Italy
8/3/2020,100,100,100,Italy
4/9/2020,600,600,600,Iran
4/10/2020,1100,1200,1200,Iran
4/11/2020,1600,1700,1800,Iran
4/12/2020,2100,2200,2400,Iran
4/13/2020,2600,2700,2900,Iran
4/14/2020,3000,3100,3300,Iran
4/15/2020,3400,3600,3800,Iran
4/16/2020,3800,3900,4200,Iran
4/17/2020,4100,4300,4600,Iran
4/18/2020,4400,4600,4900,Iran
4/19/2020,4600,4800,5200,Iran
4/20/2020,4800,5000,5400,Iran
4/21/2020,5000,5200,5700,Iran
4/22/2020,5200,5400,5800,Iran
4/23/2020,5300,5500,6000,Iran
4/24/2020,5400,5700,6200,Iran
4/25/2020,5500,5800,6300,Iran
4/26/2020,5600,5800,6400,Iran
4/27/2020,5600,5900,6400,Iran
4/28/2020,5700,5900,6500,Iran
4/29/2020,5700,6000,6500,Iran
4/30/2020,5700,6000,6500,Iran
5/1/2020,5700,6000,6500,Iran
5/2/2020,5700,5900,6500,Iran
5/3/2020,5600,5900,6500,Iran
5/4/2020,5600,5900,6500,Iran
5/5/2020,5500,5800,6400,Iran
5/6/2020,5500,5800,6400,Iran
5/7/2020,5400,5700,6300,Iran
5/8/2020,5400,5700,6300,Iran
5/9/2020,5300,5600,6200,Iran
5/10/2020,5300,5600,6100,Iran
5/11/2020,5200,5500,6100,Iran
5/12/2020,5200,5500,6000,Iran
5/13/2020,5100,5400,6000,Iran
5/14/2020,5100,5400,5900,Iran
5/15/2020,5000,5300,5900,Iran
5/16/2020,5000,5300,5800,Iran
5/17/2020,5000,5300,5800,Iran
5/18/2020,4900,5200,5800,Iran
5/19/2020,4900,5200,5700,Iran
5/20/2020,4900,5200,5700,Iran
5/21/2020,4800,5100,5600,Iran
5/22/2020,4800,5100,5600,Iran
5/23/2020,4800,5100,5600,Iran
5/24/2020,4700,5000,5500,Iran
5/25/2020,4700,5000,5500,Iran
5/26/2020,4700,4900,5500,Iran
5/27/2020,4600,4900,5400,Iran
5/28/2020,4600,4800,5400,Iran
5/29/2020,4500,4800,5300,Iran
5/30/2020,4400,4700,5200,Iran
5/31/2020,4400,4700,5200,Iran
6/1/2020,4300,4600,5100,Iran
6/2/2020,4200,4500,5000,Iran
6/3/2020,4200,4500,5000,Iran
6/4/2020,4100,4400,4900,Iran
6/5/2020,4100,4300,4900,Iran
6/6/2020,4000,4300,4800,Iran
6/7/2020,4000,4200,4700,Iran
6/8/2020,3900,4200,4700,Iran
6/9/2020,3900,4100,4600,Iran
6/10/2020,3800,4100,4600,Iran
6/11/2020,3800,4100,4500,Iran
6/12/2020,3800,4000,4500,Iran
6/13/2020,3700,4000,4500,Iran
6/14/2020,3700,4000,4500,Iran
6/15/2020,3700,3900,4400,Iran
6/16/2020,3700,3900,4400,Iran
6/17/2020,3700,3900,4400,Iran
6/18/2020,3600,3900,4400,Iran
6/19/2020,3600,3900,4300,Iran
6/20/2020,3600,3800,4300,Iran
6/21/2020,3600,3800,4300,Iran
6/22/2020,3600,3800,4300,Iran
6/23/2020,3500,3800,4200,Iran
6/24/2020,3500,3700,4200,Iran
6/25/2020,3500,3700,4200,Iran
6/26/2020,3400,3700,4100,Iran
6/27/2020,3400,3600,4100,Iran
6/28/2020,3300,3600,4100,Iran
6/29/2020,3300,3500,4000,Iran
6/30/2020,3200,3500,4000,Iran
7/1/2020,3200,3400,3900,Iran
7/2/2020,3100,3400,3800,Iran
7/3/2020,3100,3300,3800,Iran
7/4/2020,3000,3200,3700,Iran
7/5/2020,2900,3200,3600,Iran
7/6/2020,2900,3100,3600,Iran
7/7/2020,2800,3100,3500,Iran
7/8/2020,2800,3000,3500,Iran
7/9/2020,2700,3000,3400,Iran
7/10/2020,2700,2900,3300,Iran
7/11/2020,2700,2900,3300,Iran
7/12/2020,2600,2800,3300,Iran
7/13/2020,2600,2800,3200,Iran
7/14/2020,2600,2800,3200,Iran
7/15/2020,2500,2800,3100,Iran
7/16/2020,2500,2700,3100,Iran
7/17/2020,2500,2700,3100,Iran
7/18/2020,2500,2700,3100,Iran
7/19/2020,2500,2700,3100,Iran
7/20/2020,2500,2700,3000,Iran
7/21/2020,2500,2600,3000,Iran
7/22/2020,2400,2600,3000,Iran
7/23/2020,2400,2600,3000,Iran
7/24/2020,2400,2600,3000,Iran
7/25/2020,2400,2600,3000,Iran
7/26/2020,2400,2600,3000,Iran
7/27/2020,2400,2600,3000,Iran
7/28/2020,2400,2600,3000,Iran
7/29/2020,2400,2600,3000,Iran
7/30/2020,2400,2600,3000,Iran
7/31/2020,2400,2600,2900,Iran
8/1/2020,2400,2600,2900,Iran
8/2/2020,2400,2500,2900,Iran
8/3/2020,2300,2500,2900,Iran
8/4/2020,2300,2500,2900,Iran
8/5/2020,2300,2500,2900,Iran
8/6/2020,2300,2500,2900,Iran
8/7/2020,2200,2400,2800,Iran
8/8/2020,2200,2400,2800,Iran
8/9/2020,2200,2400,2800,Iran
8/10/2020,2100,2300,2700,Iran
8/11/2020,2100,2300,2700,Iran
8/12/2020,2000,2300,2600,Iran
8/13/2020,2000,2200,2600,Iran
8/14/2020,2000,2200,2500,Iran
8/15/2020,1900,2100,2500,Iran
8/16/2020,1900,2100,2500,Iran
8/17/2020,1800,2000,2400,Iran
8/18/2020,1800,1900,2300,Iran
8/19/2020,1700,1900,2300,Iran
8/20/2020,1600,1800,2200,Iran
8/21/2020,1600,1800,2200,Iran
8/22/2020,1600,1700,2100,Iran
8/23/2020,1500,1700,2000,Iran
8/24/2020,1500,1700,2000,Iran
8/25/2020,1400,1600,2000,Iran
8/26/2020,1400,1600,1900,Iran
8/27/2020,1400,1500,1900,Iran
8/28/2020,1400,1500,1800,Iran
8/29/2020,1300,1500,1800,Iran
8/30/2020,1300,1500,1800,Iran
8/31/2020,1300,1500,1800,Iran
9/1/2020,1300,1400,1700,Iran
9/2/2020,1300,1400,1700,Iran
9/3/2020,1300,1400,1700,Iran
9/4/2020,1300,1400,1700,Iran
9/5/2020,1200,1400,1700,Iran
9/6/2020,1200,1400,1600,Iran
9/7/2020,1200,1400,1600,Iran
9/8/2020,1200,1400,1600,Iran
9/9/2020,1200,1400,1600,Iran
9/10/2020,1200,1300,1600,Iran
9/11/2020,1200,1300,1600,Iran
9/12/2020,1200,1300,1600,Iran
9/13/2020,1200,1300,1600,Iran
9/14/2020,1200,1300,1600,Iran
9/15/2020,1200,1300,1600,Iran
9/16/2020,1200,1300,1600,Iran
9/17/2020,1200,1300,1600,Iran
9/18/2020,1200,1300,1600,Iran
9/19/2020,1200,1300,1600,Iran
9/20/2020,1200,1300,1600,Iran
9/21/2020,1200,1300,1600,Iran
9/22/2020,1200,1300,1600,Iran
9/23/2020,1200,1300,1600,Iran
9/24/2020,1200,1300,1600,Iran
9/25/2020,1200,1300,1600,Iran
9/26/2020,1200,1300,1600,Iran
9/27/2020,1200,1300,1600,Iran
9/28/2020,1200,1300,1600,Iran
9/29/2020,1200,1300,1600,Iran
9/30/2020,1200,1300,1600,Iran
10/1/2020,1200,1300,1600,Iran
10/2/2020,1200,1300,1600,Iran
10/3/2020,1200,1300,1600,Iran
10/4/2020,1200,1300,1600,Iran
10/5/2020,1200,1300,1600,Iran
10/6/2020,1200,1300,1600,Iran
10/7/2020,1200,1300,1600,Iran
10/8/2020,1200,1300,1600,Iran
10/9/2020,1100,1300,1600,Iran
10/10/2020,1100,1300,1500,Iran
10/11/2020,1100,1300,1500,Iran
10/12/2020,1100,1300,1500,Iran
10/13/2020,1100,1200,1500,Iran
10/14/2020,1100,1200,1500,Iran
10/15/2020,1100,1200,1500,Iran
10/16/2020,1000,1200,1500,Iran
10/17/2020,1000,1200,1400,Iran
10/18/2020,1000,1100,1400,Iran
10/19/2020,900,1100,1400,Iran
10/20/2020,900,1100,1400,Iran
10/21/2020,900,1000,1300,Iran
10/22/2020,800,1000,1300,Iran
10/23/2020,800,900,1200,Iran
10/24/2020,800,900,1200,Iran
10/25/2020,700,900,1200,Iran
10/26/2020,600,800,1100,Iran
10/27/2020,600,700,1000,Iran
10/28/2020,500,600,900,Iran
10/29/2020,500,600,800,Iran
10/30/2020,400,500,800,Iran
10/31/2020,300,500,700,Iran
11/1/2020,300,400,600,Iran
11/2/2020,300,400,600,Iran
11/3/2020,200,300,500,Iran
11/4/2020,200,300,500,Iran
11/5/2020,200,300,400,Iran
11/6/2020,200,200,400,Iran
11/7/2020,100,200,400,Iran
11/8/2020,100,200,300,Iran
11/9/2020,100,200,300,Iran
11/10/2020,100,200,300,Iran
11/11/2020,100,200,300,Iran
11/12/2020,100,100,300,Iran
11/13/2020,100,100,200,Iran
11/14/2020,100,100,200,Iran
11/15/2020,100,100,200,Iran
11/16/2020,100,100,200,Iran
11/17/2020,100,100,200,Iran
11/18/2020,100,100,200,Iran
11/19/2020,100,100,200,Iran
11/20/2020,100,100,200,Iran
11/21/2020,100,100,200,Iran
11/22/2020,100,100,200,Iran
11/23/2020,100,100,200,Iran
11/24/2020,100,100,200,Iran
11/25/2020,100,100,100,Iran
11/26/2020,100,100,100,Iran
11/27/2020,100,100,100,Iran
11/28/2020,100,100,100,Iran
11/29/2020,100,100,100,Iran
11/30/2020,100,100,100,Iran
12/1/2020,100,100,100,Iran
12/2/2020,100,100,100,Iran
12/3/2020,100,100,100,Iran
12/4/2020,100,100,100,Iran
12/5/2020,100,100,100,Iran
12/6/2020,100,100,100,Iran
12/7/2020,100,100,100,Iran
12/8/2020,100,100,100,Iran
12/9/2020,100,100,100,Iran
12/10/2020,100,100,100,Iran
12/11/2020,100,100,100,Iran
12/12/2020,100,100,100,Iran
12/13/2020,100,100,100,Iran
12/14/2020,100,100,100,Iran
12/15/2020,100,100,100,Iran
12/16/2020,100,100,100,Iran
12/17/2020,100,100,100,Iran
12/18/2020,100,100,100,Iran
12/19/2020,100,100,100,Iran
12/20/2020,100,100,100,Iran
12/21/2020,100,100,100,Iran
4/9/2020,2,3,5,Malaysia
4/10/2020,4,5,8,Malaysia
4/11/2020,6,7,11,Malaysia
4/12/2020,7,9,13,Malaysia
4/13/2020,9,11,15,Malaysia
4/14/2020,10,12,17,Malaysia
4/15/2020,11,13,18,Malaysia
4/16/2020,12,14,19,Malaysia
4/17/2020,13,15,20,Malaysia
4/18/2020,13,16,21,Malaysia
4/19/2020,14,16,21,Malaysia
4/20/2020,14,17,22,Malaysia
4/21/2020,14,17,22,Malaysia
4/22/2020,14,17,22,Malaysia
4/23/2020,14,17,22,Malaysia
4/24/2020,14,17,22,Malaysia
4/25/2020,14,16,22,Malaysia
4/26/2020,13,16,21,Malaysia
4/27/2020,13,15,21,Malaysia
4/28/2020,13,15,20,Malaysia
4/29/2020,12,15,20,Malaysia
4/30/2020,12,14,19,Malaysia
5/1/2020,11,14,19,Malaysia
5/2/2020,11,13,18,Malaysia
5/3/2020,10,13,17,Malaysia
5/4/2020,10,12,17,Malaysia
5/5/2020,9,12,16,Malaysia
5/6/2020,9,11,16,Malaysia
5/7/2020,9,11,15,Malaysia
5/8/2020,8,10,14,Malaysia
5/9/2020,8,10,14,Malaysia
5/10/2020,7,9,13,Malaysia
5/11/2020,7,9,13,Malaysia
5/12/2020,7,8,12,Malaysia
5/13/2020,6,8,12,Malaysia
5/14/2020,6,8,11,Malaysia
5/15/2020,6,7,11,Malaysia
5/16/2020,5,7,10,Malaysia
5/17/2020,5,7,10,Malaysia
5/18/2020,5,6,10,Malaysia
5/19/2020,5,6,9,Malaysia
5/20/2020,4,6,9,Malaysia
5/21/2020,4,5,9,Malaysia
5/22/2020,4,5,8,Malaysia
5/23/2020,4,5,8,Malaysia
5/24/2020,3,5,8,Malaysia
5/25/2020,3,5,7,Malaysia
5/26/2020,3,4,7,Malaysia
5/27/2020,3,4,7,Malaysia
5/28/2020,3,4,7,Malaysia
5/29/2020,3,4,6,Malaysia
5/30/2020,2,4,6,Malaysia
5/31/2020,2,3,6,Malaysia
6/1/2020,2,3,6,Malaysia
6/2/2020,2,3,6,Malaysia
6/3/2020,2,3,5,Malaysia
6/4/2020,2,3,5,Malaysia
6/5/2020,2,3,5,Malaysia
6/6/2020,2,3,5,Malaysia
6/7/2020,2,3,5,Malaysia
6/8/2020,2,2,5,Malaysia
6/9/2020,1,2,4,Malaysia
6/10/2020,1,2,4,Malaysia
6/11/2020,1,2,4,Malaysia
6/12/2020,1,2,4,Malaysia
6/13/2020,1,2,4,Malaysia
6/14/2020,1,2,4,Malaysia
6/15/2020,1,2,4,Malaysia
6/16/2020,1,2,4,Malaysia
6/17/2020,1,2,4,Malaysia
6/18/2020,1,2,3,Malaysia
6/19/2020,1,2,3,Malaysia
6/20/2020,1,2,3,Malaysia
6/21/2020,1,1,3,Malaysia
6/22/2020,1,1,3,Malaysia
6/23/2020,1,1,3,Malaysia
6/24/2020,1,1,3,Malaysia
6/25/2020,1,1,3,Malaysia
6/26/2020,1,1,3,Malaysia
6/27/2020,1,1,3,Malaysia
6/28/2020,1,1,3,Malaysia
6/29/2020,1,1,3,Malaysia
6/30/2020,1,1,2,Malaysia
7/1/2020,1,1,2,Malaysia
7/2/2020,1,1,2,Malaysia
7/3/2020,1,1,2,Malaysia
7/4/2020,1,1,2,Malaysia
7/5/2020,1,1,2,Malaysia
7/6/2020,1,1,2,Malaysia
7/7/2020,1,1,2,Malaysia
7/8/2020,1,1,2,Malaysia
7/9/2020,1,1,2,Malaysia
7/10/2020,1,1,2,Malaysia
7/11/2020,1,1,2,Malaysia
7/12/2020,1,1,2,Malaysia
7/13/2020,1,1,2,Malaysia
7/14/2020,1,1,2,Malaysia
7/15/2020,1,1,2,Malaysia
7/16/2020,1,1,2,Malaysia
7/17/2020,1,1,2,Malaysia
7/18/2020,1,1,2,Malaysia
7/19/2020,1,1,2,Malaysia
7/20/2020,1,1,2,Malaysia
7/21/2020,1,1,2,Malaysia
7/22/2020,1,1,2,Malaysia
7/23/2020,1,1,2,Malaysia
7/24/2020,1,1,2,Malaysia
7/25/2020,1,1,2,Malaysia
7/26/2020,1,1,2,Malaysia
7/27/2020,1,1,2,Malaysia
7/28/2020,1,1,2,Malaysia
7/29/2020,1,1,2,Malaysia
7/30/2020,1,1,1,Malaysia
7/31/2020,1,1,1,Malaysia
8/1/2020,1,1,1,Malaysia
8/2/2020,1,1,1,Malaysia
8/3/2020,1,1,1,Malaysia
8/4/2020,1,1,1,Malaysia
8/5/2020,1,1,1,Malaysia
8/6/2020,1,1,1,Malaysia
8/7/2020,1,1,1,Malaysia
8/8/2020,1,1,1,Malaysia
8/9/2020,1,1,1,Malaysia
8/10/2020,1,1,1,Malaysia
8/11/2020,1,1,1,Malaysia
8/12/2020,1,1,1,Malaysia
8/13/2020,1,1,1,Malaysia
8/14/2020,1,1,1,Malaysia
8/15/2020,1,1,1,Malaysia
8/16/2020,1,1,1,Malaysia
8/17/2020,1,1,1,Malaysia
8/18/2020,1,1,1,Malaysia
8/19/2020,1,1,1,Malaysia
8/20/2020,1,1,1,Malaysia
8/21/2020,1,1,1,Malaysia
8/22/2020,1,1,1,Malaysia
8/23/2020,1,1,1,Malaysia
8/24/2020,1,1,1,Malaysia
8/25/2020,1,1,1,Malaysia
8/26/2020,1,1,1,Malaysia
8/27/2020,1,1,1,Malaysia
8/28/2020,1,1,1,Malaysia
8/29/2020,1,1,1,Malaysia
8/30/2020,1,1,1,Malaysia
8/31/2020,1,1,1,Malaysia
9/1/2020,1,1,1,Malaysia
9/2/2020,1,1,1,Malaysia
9/3/2020,1,1,1,Malaysia
9/4/2020,1,1,1,Malaysia
9/5/2020,1,1,1,Malaysia
9/6/2020,1,1,1,Malaysia
9/7/2020,1,1,1,Malaysia
9/8/2020,1,1,1,Malaysia
9/9/2020,1,1,1,Malaysia
9/10/2020,1,1,1,Malaysia
9/11/2020,1,1,1,Malaysia
9/12/2020,1,1,1,Malaysia
9/13/2020,1,1,1,Malaysia
9/14/2020,1,1,1,Malaysia
9/15/2020,1,1,1,Malaysia
9/16/2020,1,1,1,Malaysia
9/17/2020,1,1,1,Malaysia
9/18/2020,1,1,1,Malaysia
9/19/2020,0,1,1,Malaysia
9/20/2020,1,1,1,Malaysia
9/21/2020,1,1,1,Malaysia
9/22/2020,1,1,1,Malaysia
9/23/2020,1,1,1,Malaysia
9/24/2020,1,1,1,Malaysia
9/25/2020,1,1,1,Malaysia
9/26/2020,1,1,1,Malaysia
9/27/2020,1,1,1,Malaysia
9/28/2020,1,1,1,Malaysia
9/29/2020,1,1,1,Malaysia
9/30/2020,1,1,1,Malaysia
10/1/2020,1,1,1,Malaysia
10/2/2020,1,1,1,Malaysia
10/3/2020,1,1,1,Malaysia
10/4/2020,1,1,1,Malaysia
10/5/2020,1,1,1,Malaysia
10/6/2020,1,1,1,Malaysia
10/7/2020,1,1,1,Malaysia
10/8/2020,1,1,1,Malaysia
10/9/2020,1,1,1,Malaysia
10/10/2020,1,1,1,Malaysia
10/11/2020,1,1,1,Malaysia
10/12/2020,1,1,1,Malaysia
10/13/2020,1,1,1,Malaysia
10/14/2020,1,1,1,Malaysia
10/15/2020,1,1,1,Malaysia
10/16/2020,1,1,1,Malaysia
10/17/2020,1,1,1,Malaysia
10/18/2020,1,1,1,Malaysia
10/19/2020,1,1,1,Malaysia
10/20/2020,1,1,1,Malaysia
10/21/2020,1,1,1,Malaysia
10/22/2020,1,1,1,Malaysia
10/23/2020,1,1,1,Malaysia
10/24/2020,1,1,1,Malaysia
10/25/2020,1,1,1,Malaysia
10/26/2020,1,1,1,Malaysia
10/27/2020,1,1,1,Malaysia
10/28/2020,1,1,1,Malaysia
10/29/2020,1,1,1,Malaysia
10/30/2020,1,1,1,Malaysia
10/31/2020,1,1,1,Malaysia
11/1/2020,1,1,1,Malaysia
11/2/2020,1,1,1,Malaysia
11/3/2020,1,1,1,Malaysia
11/4/2020,1,1,1,Malaysia
11/5/2020,1,1,1,Malaysia
11/6/2020,1,1,1,Malaysia
11/7/2020,1,1,1,Malaysia
11/8/2020,1,1,1,Malaysia
11/9/2020,1,1,1,Malaysia
11/10/2020,1,1,1,Malaysia
11/11/2020,1,1,1,Malaysia
11/12/2020,1,1,1,Malaysia
11/13/2020,1,1,1,Malaysia
11/14/2020,1,1,1,Malaysia
11/15/2020,1,1,1,Malaysia
11/16/2020,1,1,1,Malaysia
11/17/2020,1,1,1,Malaysia
11/18/2020,1,1,1,Malaysia
11/19/2020,1,1,1,Malaysia
